,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
838,7/5/12 01:00,Caldwell,ID,USA,Fireball,2-3 minutes,"Orange/red, low flying spherical craft seen 200 yards away from 10th ave S. and Castle Way.",8/5/12,
839,7/4/12 22:30,Boise,ID,USA,Other,1+ hours,Multiple Fiery Orbs sighted in n./s. flight over w. Boise over 1+ hr period,8/5/12,
840,7/4/12 21:30,Meridian,ID,USA,Sphere,30 seconds,Black sphere ufo.,7/14/13,
841,7/2/12 23:00,Boise,ID,USA,Sphere,3 minutes,"Orange/Red glowing spheres flying low, fast and silently in sky",7/4/12,
842,6/29/12 08:50,Heyburn,ID,USA,Triangle,2 minutes,3 circles slowly moving across the sky in unison,8/5/12,
843,6/27/12,Nampa,ID,USA,,,Three UFO's into one very low to ground above my house.,9/24/12,
844,6/23/12 23:20,Twin Falls,ID,USA,Fireball,23:21,They jump down and left from big light with too fast speed. ((NUFORC Note: Possibly not a serious-minded report? PD)),7/4/12,
845,6/22/12 23:00,Sawtooth National Forest,ID,USA,Circle,3 minutes,"white yellow round ball of light north of ketchum, Id. in Sawtooth National forest",7/4/12,
846,6/22/12 22:00,Jerome,ID,USA,Cone,10 minutes,"UFO Observed in Jerome, Idaho.. Multiple sightings, and multiple witnesses!",7/4/12,
847,6/22/12 01:00,Boise,ID,USA,Light,hour,Multi-colored lights in motion,7/4/12,
848,6/21/12 00:00,Caldwell,ID,USA,Unknown,none,"The URANTIA BOOK, read these parts and learn about visitors.",7/4/12,
849,6/20/12 22:20,Coeur d'Alene,ID,USA,Light,10 seconds,Bright light that dimmed out,7/4/12,
850,6/17/12 00:00,Rigby,ID,USA,Unknown,2 hours,Many yellow and red lights seen by Snake River.,8/5/12,
851,6/2/12 15:00,Twin Falls,ID,USA,Flash,15 min,Erratic fast moving star like object with bright flash every few seconds,6/5/12,
852,5/17/12 01:00,Bonners Ferry,ID,USA,Flash,30 minutes,"Out of the blue in sound sleep. Both my so and I were awakened. No noise or anything, we were just awake out of the blue. Then the sky",5/29/12,
853,5/5/12 22:00,Boise,ID,USA,Sphere,10 mins,6-8 yellowish orange spheres moving from downtown Boise towards the hills.,5/13/12,
854,4/22/12 22:00,Mountain Home,ID,USA,Flash,2 to 3 sec,Looked like camera flash but in the sky,5/13/12,
855,4/20/12 21:37,Caldwell,ID,USA,Light,5 mn,6- Red/Yellow lights seen in a verticle formation.They disappeared into the sky.,5/13/12,
856,4/8/12 00:32,St. Anthony,ID,USA,Flash,3 seconds,"0:32 MS , St Anthony, ID, flashing star across the sky high speed , trail part of travel distant",4/18/12,
857,4/7/12 22:15,Hope,ID,USA,Disk,1 hour,Observed two Puslsating Red Craft moving and hovering over a lake for the better part of an hour,8/5/12,
858,4/1/12 14:00,Sandpoint,ID,USA,Circle,1 minute,Picture the NBC peacock tail. Expand this picture to full circle. Now give this picture three dimensions like multiple tear drops cot,10/30/12,
859,3/19/12 22:30,Boise,ID,USA,Light,23:30,This is not a hoax,5/13/12,
860,2/6/12 03:00,Emmett,ID,USA,Triangle,~30 minutes,"Triangular craft hovered over Emmett, Idaho, for approximately 30 minutes ejecting orbs.",1/30/14,
861,1/28/12 22:15,Rexburg,ID,USA,,10 min,"Floating Amber Lights Above City, Seen Multiple Times.",2/3/12,
862,1/28/12 22:00,Middleton,ID,USA,Other,2-3 min,"Five red-orange lights, three of which were in triangle formation, over Middleton, ID",2/3/12,
863,1/28/12 00:30,Hailey,ID,USA,Diamond,30 minutes,"I often see an object in Ada Co., but my best sighting was in Blaine near Hailey. I was at my parents' house a few miles out of town.",10/2/15,
864,1/10/12 19:00,Coeur d'Alene,ID,USA,Orb,2 Minutes,"Object that appeared to be satellite, changed speed and course, then stopped and hovered. Object split in two and departed",1/12/12,
