,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
64,3/20/20 21:15,Ceresco,NE,USA,Circle,45 minutes,"white dots in a single line moving from NW to NE with one moving in the opposite direction. ((""Starlink"" satellites??))",4/9/20,
65,3/6/20 20:15,Omaha,NE,USA,Light,10 minutes,I was out in my backyard to pickup chairs that had blown down durin ((Spacelink satellites)),5/1/20,
66,3/3/20 05:00,Lincoln,NE,USA,Light,3 minutes,"23 lights in the early morning sky today. ((""Starlink satellites??))",4/9/20,
67,2/15/20 20:30,,NE,USA,Light,Seconds,4 evenly spaced high speed lights,2/25/20,
68,1/16/20 00:45,Blue Springs,NE,USA,Orb,<1 second,I saw a white dot of light (aka dropping orb) as it dove behind a nearby hill.,2/7/20,
69,1/11/20 03:00,Bellevue,NE,USA,,5 minutes,Alien contact,2/7/20,
70,1/7/20 20:30,Lincoln,NE,USA,Light,15 minutes,20-30 Star-like lights moving in union from NWest to East,2/7/20,
71,1/6/20 05:18,Lincoln,NE,USA,Unknown,2 hours,Possible Abduction,2/7/20,
72,12/19/19 18:20,Bellevue,NE,USA,Oval,3 minutes,I was driving home from work when I looked up and I could see an oval shaped UFO looking aircraft being followed by a helicopter. It ha,12/22/19,
73,12/11/19 08:00,Lavista,NE,USA,Rectangle,5 minutes,"We were at the ATM , our car stalled out and when we got it started we noticed a large square hovering for about 3-4 minutes to the sou",12/19/19,
74,12/10/19 19:30,Lincoln,NE,USA,Light,3 minutes,Bright object,2/7/20,
75,12/10/19 17:40,Omaha,NE,USA,Light,2 minutes,Unusual fast moving object overtaking ISS,12/19/19,
76,12/10/19 06:23,Hastings,NE,USA,Circle,20 min,I was returning back to my shop from picking up a load at work and I thought I was seeing Orion's belt when I got out of my truck I cou,12/19/19,
77,12/10/19 06:20,Waco,NE,USA,Light,15-20,Lights were moving from the northwest sky towards the southeast sky. Not really any sound evenly spaced. ((Starlink satellites?)),12/19/19,
78,12/10/19 06:11,La Vista,NE,USA,Oval,20 min,"100s of lights moving in formation, and joining in from the sides.",12/19/19,
79,11/25/19 06:10,Columbus,NE,USA,Light,20 minutes,"57 separate bright white lights flying from WSW from NE. ((NUFORC Note: ""Starlink"" satellites? PD))",12/1/19,
80,11/25/19 06:10,Columbus,NE,USA,Light,20 minutes,"57 separate bright white lights flying from West Southwest to the Northeast. ((NUFORC Note: ""Starlink"" satellites? PD))",12/1/19,
81,11/24/19 06:00,Crete,NE,USA,Light,15 minutes,100 high altitude lights traveling across the sky traveling fast for 15 mins.,12/1/19,
82,11/24/19 06:00,Winnetoon,NE,USA,Sphere,2 minutes,"Multiple spherical objects evenly spaced and heading in the same direction. ((NUFORC Note: ""Starlink"" satellites? PD))",12/1/19,
83,11/24/19,Bellevue,NE,USA,Circle,5 minutes,"On November 24th, 2019 I and another person witnessed over 100 ufos glowing lights that were in a line that went across the sky and i",12/19/19,
84,11/21/19 16:45,Lindsay,NE,USA,Other,1 minute,"Eight big, bright lights in a row. ((NUFORC Note: ""Starlink"" satellites? PD))",12/1/19,
85,11/18/19 08:30,Alliance,NE,USA,Circle,30 seconds,Me and my friend where driving around and saw a green shaped circle flying in the sky and it disappeared in a matter of 30 seconds supe,12/1/19,
86,11/15/19 17:20,Wahoo,NE,USA,Light,2 minutes,I was driving north towards wahoo on a highway from Lincoln and I noticed there was a very bright light above what look like Wahoo it w,12/1/19,
87,11/12/19 18:35,Omaha,NE,USA,Circle,3 seconds,My wife and I saw a red dot appear in the eastern sky as we traveled east on Harrison Street,12/1/19,
88,11/11/19 17:00,North Platte,NE,USA,Cigar,2 minutes,"I did quickly seen a trail of lights moving fast. ((NUFORC Note: Cluster of ""Starlink"" satellites. PD))",12/1/19,
89,10/26/19 01:34,West Point,NE,USA,Chevron,30 seconds,"Strange UFO sighting outside our home in West Point, NE.",12/1/19,
90,9/18/19 16:30,Lexington,NE,USA,Sphere,About 5 minutes,((HOAX??)) my brother noticed some white little spheres in the sky. ((anonymous report)),10/4/19,
91,9/4/19 00:58,Omaha,NE,USA,Chevron,7 seconds,I caught direct visual and watched a boomerang shaped craft fly from a NNW to S path.,9/6/19,
92,8/7/19 06:30,Lincoln,NE,USA,Other,3 minutes,Was on way to test for probation at 625 am. As I headed down my normal route on state fair drive notice what looked like a plane with n,8/23/19,
93,7/20/19 04:48,Henderson,NE,USA,Triangle,2 minutes,Driving down interstate 80 and in distance ahead saw what appeared at first as a crashing plane with blue red and white lights then it,7/25/19,
94,7/9/19 20:10,Hamilton,NE,USA,Circle,,"I was taking pictures of the clouds. And when I downed loaded the pictures, There was a ball of light in the center of a very dark clou",7/25/19,
95,6/21/19 19:30,Lexington,NE,USA,Cigar,2 hours,"Location: Lexington, NE; Dawson County Date: 6/21/19 Time: ~19:30 My son noticed what he thought was a balloon in the sky west of Lexi",6/27/19,
96,6/7/19 16:25,Lincoln,NE,USA,Diamond,00:05,Looked like a dark bird floating still. Started moving lower. Slowed down passed over the street it seemed. ((anonymous report)),6/27/19,
97,6/4/19 22:17,Lincoln,NE,USA,Orb,45 seconds,Standing outside my mum's house and saw two very bright orbs dancing around the brightest light body in the S sky. ((anonymous source)),6/7/19,
98,5/25/19 00:10,Norfolk,NE,USA,Formation,2 minutes,Moving line of lights close together in line formation,6/7/19,
