,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
696,4/8/16 04:30,Branson ((possibly; unsure)),MO,USA,Flash,2 minutes,"Early morning, trip to Eureka Springs Arkansas. County road no traffic. Flash of light followed by second flash shortly thereafter. Tho",5/6/16,
697,4/2/16 19:45,St. Louis,MO,USA,Unknown,seconds,Several orange lights in the shape of a triangle. Form disappeared quickly in sothern evening sky.,4/15/16,
698,4/1/16 22:25,St. Charles,MO,USA,Chevron,3 minutes,"I was looking up in the sky and I noticed that in the wooded area surrounding the neighborhood. . And... very, very low in the atmos",4/15/16,
699,3/28/16 20:45,Wentzvillle,MO,USA,Light,15 seconds,On the above mentioned night on or about the 28th of March around 8:30 9:00 I was gazing into the west sky into outer space with my hea,7/8/16,
700,3/18/16 18:00,Independence,MO,USA,Light,>1 hour,"Star-like obj. moving to L and R, up and down, but stays in rel. same area. Looks like a star, twinkling. ((NUFORC Note: Star?? PD))",3/24/16,
701,3/17/16 06:05,Marshall,MO,USA,Other,10 seconds,Two crafts with numerous orange lights.,3/18/16,
702,3/7/16 19:05,Jefferson City,MO,USA,Sphere,5 minutes,Turquoise light turns crimson red.,3/11/16,
703,3/1/16 20:10,California,MO,USA,Formation,8 seconds,"As I crested a hill on highway 87 south, about 2 miles north of California, at or around 8:10pm I saw 5-8 orange balls of light headed",3/4/16,
704,3/1/16 18:05,Stover,MO,USA,Cylinder,30 seconds,Observed cylinder shaped object with triangle lights.,3/11/16,
705,2/29/16 19:30,Clinton,MO,USA,Unknown,20 minutes,Orange low level lights appearing and disappearing in an irregular manner repeatedly.,3/4/16,
706,2/29/16 19:20,Stover,MO,USA,Formation,5 minutes,"At least 6 orange orbs appeared and disappeared S-SE of Stover, MO.",3/4/16,
707,2/29/16 18:45,"Bolivar, Hermitage, and Urbana",MO,USA,Light,45 minutes,"I was driving N from Bolivar, MO, to Hermitage Mo and then to Urbana at approx. 6:45 I noticed a bright light in the northern sky the",3/4/16,
708,2/29/16 18:30,LaMonte,MO,USA,,40 minutes,((HOAX??)) Bright red horizontal balls of light.,3/4/16,
709,2/28/16 22:35,Marshfield,MO,USA,Triangle,10 minutes,"The craft was close enough we could see it perfectly, it was a triangle craft, low flying and completely silent.",3/4/16,
710,2/27/16 21:45,Farmington,MO,USA,Changing,1 minute,"Large rod ufo moving toward St. Louis, Missouri, from Farmingtom, Missouri.",3/4/16,
711,2/26/16 20:20,Cedar Hill/Burnsmill,MO,USA,Cone,Ongoing,"This ""thing"" was flashing colors, and every few often the horizon line would glow. ((NUFORC Note: Possibly Sirius? PD))",3/4/16,
712,2/26/16 15:00,Gainesville,MO,USA,Cylinder,5-8 seconds,"Was outside walking my cat and seen this object fly over. It made no sound, had no wings. Possibly no windows. It was Cylinder shape",3/4/16,
713,2/22/16 19:00,Lebanon,MO,USA,Fireball,90 minutes,"Several Orange Globe Fireball Lights Low in the Sky, Winking Out and Coming Back In Other Locations.",2/26/16,
714,2/19/16 18:30,Gainesville,MO,USA,Triangle,5 minutes,My boyfriend and I have been seen an Object North of us.  There is Fields and cattle that direction. We see this object off and o,3/4/16,
715,2/6/16 19:15,Fenton,MO,USA,Light,5 seconds,Bright light shoots eastward over Fenton at 1000mph and disappears.,2/11/16,
