,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
1846,8/6/03 00:32,North Bay (Canada),ON,Canada,Cigar,5 to 7 minutes,"HBCCUFO CANADIAN REPORT: Hovering Cigar Shaped Craft, pictures taken.",8/28/03,
1847,7/25/03 03:30,Ottawa (Canada),ON,Canada,Triangle,< 60 seconds,I saw a very dark shape that stood out against the night sky. It had no lights and moved across the sky to the west.,8/28/03,
1848,7/24/03 23:10,Kingston (northeast of) (Canada),ON,Canada,Other,approx: 20 seconds,HBCCUFO CANADIAN REPORT: Boomerang in shape.,8/28/03,
1849,7/24/03 21:15,Milton (north of) (Canada),ON,Canada,Unknown,7 minutes,"Super bright light moving from west to east, not too high and not too fast.",1/24/12,
1850,7/23/03 22:00,Mississauga (Canada),ON,Canada,Light,10 sec,A series of lights moving to fast to be a plane,8/28/03,
1851,7/19/03 23:50,Toronto (Canada),ON,Canada,Unknown,seconds,series of lights moving north over Toronto,7/23/03,
1852,7/19/03 22:00,Burlington (Canada),ON,Canada,Fireball,10 seconds,looked like a comet,7/23/03,
1853,7/18/03 17:40,Scarborough (Canada),ON,Canada,Rectangle,2 minutes,Flashing Flat Silver Rectangle,7/28/10,
1854,7/18/03 13:58,Thunder Bay (Canada),ON,Canada,Light,1 minute,A round green/orange light that was stationary than sped off quickly and disappeared without a sound.,7/23/03,
1855,7/17/03 21:15,St.Thomas (Canada),ON,Canada,Other,1 min,ligh moving at great angles and a blinding white light.,7/23/03,
1856,7/17/03 02:00,Windsor (Canada),ON,Canada,Circle,40 minutes,A bright pulsating white light near the moon....,7/23/03,
1857,7/15/03 15:00,Waterdown (Canada),ON,Canada,Cigar,5 minutes,Cigar shaped object spotted by Canadian teachers in Ontario,5/4/04,
1858,7/13/03 16:00,Waterloo (Canada),ON,Canada,Changing,40 minutes,"3 spheres, changing colours and shape, moving among the clouds",7/16/03,
1859,7/13/03 11:45,Hensall (north of) (Canada),ON,Canada,Cigar,5 seconds,"Cigar-shaped object seen north of Hensall Ontario, crossing the road (at a distance) while driving on Hwy 4",7/16/03,
1860,7/12/03 18:00,Toronto (Canada),ON,Canada,Oval,roughly 30 minutes,Object over Lake Ontario - Toronto area ((NUFORC Note: Turns out to be blimp. PD)),7/16/03,
1861,7/5/03 22:30,Pickering (Canada),ON,Canada,Circle,10-20 seconds,The light went up and down a few times then went in a circular motion and dissapeared within seconds.,1/17/04,
1862,7/4/03 23:59,Ottawa (Canada),ON,Canada,Light,10 seconds,"Same as my last report in June. Bluish white light, shoots straigt up turns red-orange then gone. I checked with NASA thinking it may b",7/16/03,
1863,7/3/03 22:30,Tottenham (Canada),ON,Canada,Circle,30 Sceonds,Circular shape with bright white lights and another the same underneith.,7/16/03,
1864,6/30/03 23:15,Hamilton (Canada),ON,Canada,Flash,2 Seconds,Bright white flash lasting only 2 seconds.,7/16/03,
1865,6/27/03 23:10,Toronto (Canada),ON,Canada,Unknown,5-7 SECONDS,I saw a black/ grey object moving in the night sky.It was really hard to see because of the objects color set against the background of,7/8/04,
1866,6/25/03 01:00,Ottawa (Canada),ON,Canada,Light,20 seconds,I work nights and quite often see things in the sky but usually shrug them off as satellites or high flying planes.This morning at appr,7/16/03,
1867,6/21/03 21:55,Vaughan (Canada),ON,Canada,Cigar,5- 7 seconds,Brilliant White Torpedo Shape Craft Jumping Across The Sky Like A Tic Over Canada's Wonderland,7/4/12,
1868,6/16/03 15:00,Windsor (Canada),ON,Canada,Changing,40-45 seconds,"I do nature photography. Yesterday June 16/13 I saw an object in the sky, it looked about 350 ft in the air. Flew directly over head i",7/3/13,
1869,6/15/03 20:00,Brockville (Canada),ON,Canada,Chevron,1 minute,"Looked like a plane, but was to close to the ground and moving to slowly. red light formation",3/17/04,
1870,6/3/03 02:00,Cambridge (Canada),ON,Canada,Triangle,about three minutes,Two triangles with lights,6/10/03,
1871,5/22/03 23:00,Toronto (Canada),ON,Canada,Light,1 hour,"4 UFO's were flying in the sky, quickly from one place to another, one was dissapearing and re-appearing.",5/27/03,
1872,5/22/03 22:20,Ottawa (Canada),ON,Canada,Light,30-40 sec,Two lights shape and size of a star flying very high and very fast SW toward NE side by side one of them changing course,5/27/03,
1873,5/21/03 23:30,Hamilton (Canada),ON,Canada,Circle,35 minutes,"Three different sightings of dim, orange lights arranged in various shapes passing soundlessly over my house.",10/31/03,
1874,5/13/03 20:15,Georgetown (Canada),ON,Canada,Circle,5 min,round quiet rotating and very low flying then sped off in an instant.,5/27/03,
1875,5/13/03 02:15,Kitchener (Canada),ON,Canada,Formation,"approx. 09 sec,","we were at Bingemans Conservation Area and I looed up and thought I saw a shooting star. When my wife turned to look up, two more spit",5/27/03,
1876,5/7/03 22:30,Newmarket (Canada),ON,Canada,Triangle,1or 2 minutes,triangle in flight,7/16/03,
1877,4/24/03 22:05,Kitchener (Canada),ON,Canada,Triangle,2 minutes,Large black triangle objects with globe shaped lights moving through the sky extreamly fast with no sound.,5/13/03,
1878,4/24/03 21:50,Guelph (Canada),ON,Canada,Triangle,35 seconds,V-Shaped object(s) sighted above Guelph Ontario April 24 2003,4/27/03,
1879,4/15/03 04:55,Toronto (Canada),ON,Canada,Unknown,Less than 1 minute,Lout jet noise heard in Toronto - but no jet.,4/22/03,
1880,4/15/03 01:00,Goderich (Canada),ON,Canada,Egg,20 seconds,energy glows seen over town following aircraft,5/24/05,
1881,4/4/03 20:00,London (just west of) (Canada),ON,Canada,Sphere,5-10 seconds,"A blue sphere crashes towards the earth, illuminating the sky in a glowing blue light.",4/22/03,
1882,3/29/03 02:40,Cornwall (Canada),ON,Canada,Circle,5 minutes,"Yeah,contact me at (613) ((number deleted))",4/22/03,
1883,3/18/03 21:10,Oshawa (Canada),ON,Canada,Light,40 sec,"HBCCUFO CANADIAN REPORT: Update: Light seen and video taped in Oshawa, Ontario.",3/21/03,
1884,3/18/03 20:10,Oshawa (Canada),ON,Canada,Light,approx: 40 sec,HBCCUFO CANADIAN REPORT: Couple catch strange orange light on video,3/21/03,
1885,3/11/03 15:00,Shabaqua (Thunder Bay) (Canada),ON,Canada,Fireball,3 seconds,A orange fireball.,3/21/03,
1886,3/11/03 03:00,"Thunderbay, Ontario (Canada)",ON,Canada,Triangle,5 minutes,"one was v shaped then cloaked,the other one was round orange and huge",3/21/03,
1887,3/3/03 12:01,Scarborough (Canada),ON,Canada,Cross,25 mins,Two brilliant white angel/cross shaped objects lingering above my workplace roof,12/12/09,
1888,2/16/03 16:00,Hamilton (Canada),ON,Canada,Oval,2 minutes,the object was flying for a bit than vanished,3/11/03,
1889,2/2/03 19:10,Sudbury (Canada),ON,Canada,Light,1 minute,"blinking light moving very fast across the sky , faster than jets do and satellites don't have strobe lights",2/5/03,
1890,2/2/03 05:30,Harcourt (Canada),ON,Canada,Diamond,30 minutes,Bright white diamond with red lower surface,2/5/03,
1891,1/24/03 18:13,Kingston (Canada),ON,Canada,Triangle,approx. 2 min.,black equilateral triangle with 3 glowing white dome lights at tips... directly above my car,2/5/03,
1892,1/15/03 19:00,Howe Island (Canada),ON,Canada,Triangle,2-3 minutes,Low flying triangle - Howe Island- January 2003,5/2/11,
1893,10/22/02 22:30,London (Canada),ON,Canada,Triangle,1-2 minutes,"The object was low to the ground, stationary and had three bright white lights in a triangular formation, with no sound.",5/24/05,
1894,10/20/02 23:30,Toronto (Canada),ON,Canada,Light,seconds,White light shots across sky.,10/28/02,
1895,10/14/02 22:30,Oshawa (Canada),ON,Canada,Light,15-20 min.,UP to 7 silent orange lights seen hovering for quite a while. ((Vandenberg rocket launch. PD)),10/15/02,
1896,10/14/02 18:05,Windsor (Canada),ON,Canada,Other,10 minutes,5 slow moving objects near detroit/windsor,10/28/02,
1897,10/5/02 22:00,Kettleby (Canada),ON,Canada,Light,5 seconds,"bright, fast moving light in the night sky",10/15/02,
1898,9/15/02 22:00,Armstrong (Canada),ON,Canada,Formation,5 seconds,Large formation of UFO's over sunset in Northern Canada,4/16/05,
1899,9/13/02 07:00,Ottawa (Canada),ON,Canada,Unknown,,vertically flying shape,9/19/02,
1900,9/12/02 01:00,Brockville (Canada),ON,Canada,Egg,seconds,Cloaked spacecraft,9/19/02,
1901,9/11/02 22:47,Hamilton (Canada),ON,Canada,Formation,6 - 8 seconds,I was sitting in my hot tub looking up into an unusually clear night (nights this clear are rare in Hamilton during the summer due to h,9/13/02,
1902,9/7/02 01:30,Ottawa (Canada),ON,Canada,Formation,15 min,"This massive ship, covered with bright white lights, hovered over the water passing my tent and stopped to hover 30 ft . away from me",3/4/03,
1903,9/6/02 22:50,Rodney (Canada),ON,Canada,Light,4 minutes,Southwestern Ontario sighting,9/13/02,
1904,9/4/02 20:56,Toronto (Canada),ON,Canada,Diamond,10 minutes,"They flew a certain distance from each other. The way they flew was not like an airplane. They flew in spurts really quick, sometimes i",9/6/02,
1905,9/3/02 21:00,Ingersoll (Canada),ON,Canada,Unknown,continuous,"Dull to brilliant craft travelling across sky - no trails, no flashing lights, much faster than airplanes. Never seen anything like it",9/6/02,
1906,9/1/02 00:15,Parry Sound (Canada),ON,Canada,Triangle,30 seconds,"Triangular shaped object / lights over Parry Sound, Ontario. Sunday Sept 1, 2002",9/6/02,
1907,8/30/02 22:18,Sarnia (Canada),ON,Canada,Light,30 sec. to 1 min.,3 bright lights crossing the sky very fast in Sarnia,9/6/02,
1908,8/27/02 23:30,Toronto (Canada),ON,Canada,Triangle,5 minutes,What we saw for 5 minutes on Tuesday made believers out of 10 of us......,9/6/02,
1909,8/26/02 00:00,Windsor (Canada),ON,Canada,Changing,35 min.,"the oject wobbled, but seemed to hover",9/6/02,
1910,8/25/02 23:00,Belleville (Canada),ON,Canada,Unknown,4 hours,we saw and heard something that isn't explainable.,9/6/02,
